Sample ID	Block	Time	Jar	Treatment	Measurement Date	Measurer Name	Larval Stage	Length	Height	Circumference 	Alive/Dead	Normal.Deformed
CS.B06.T12.J09 6.27.18-0007	B06	T12	J09	SE	5/28/2019	Melati Tarrant	D-Stage	0.057	0.056	0.226	Alive	Normal
CS.B06.T12.J09 6.27.18-0008	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.058	0.054	0.211	Alive	Normal
CS.B06.T12.J09 6.27.18-0009	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.052	0.041	0.164	Alive	Normal
CS.B06.T12.J09 6.27.18-0010	B06	T12	J09	SE	5/28/2019	Melati Tarrant	D-Stage	0.035	0.060	0.199	Alive	Normal
CS.B06.T12.J09 6.27.18-0011	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.056	0.058	0.199	Alive	Normal
CS.B06.T12.J09 6.27.18-0012	B06	T12	J09	SE	5/28/2019	Melati Tarrant	D-Stage	0.038	0.059	0.202	Alive	Normal
CS.B06.T12.J09 6.27.18-0013	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.055	0.054	0.188	Alive	Normal
CS.B06.T12.J09 6.27.18-0014	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.052	0.055	0.183	Alive	Normal
CS.B06.T12.J09 6.27.18-0015	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.049	0.054	0.178	Alive	Normal
CS.B06.T12.J09 6.27.18-0016	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.053	0.058	0.189	Alive	Normal
CS.B06.T12.J09 6.27.18-0017	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.038	0.062	0.187	Alive	Deformed
CS.B06.T12.J09 6.27.18-0018	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.055	0.056	0.190	Alive	Normal
CS.B06.T12.J09 6.27.18-0019	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.055	0.060	0.201	Alive	Normal
CS.B06.T12.J09 6.27.18-0020	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.052	0.055	0.178	Alive	Normal
CS.B06.T12.J09 6.27.18-0021	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.052	0.054	0.178	Alive	Normal
CS.B06.T12.J09 6.27.18-0022	B06	T12	J09	SE	5/28/2019	Melati Tarrant	D-Stage	0.051	0.056	0.198	Alive	Normal
CS.B06.T12.J09 6.27.18-0023	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.046	0.050	0.166	Alive	Normal
CS.B06.T12.J09 6.27.18-0024	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.054	0.057	0.186	Alive	Normal
CS.B06.T12.J09 6.27.18-0027	B06	T12	J09	SE	5/28/2019	Melati Tarrant	Trochophore	0.054	0.054	0.203	Alive	Normal
CS.B06.T12.J09 6.27.18-0028	B06	T12	J09	SE	5/28/2019	Melati Tarrant	D-Stage	0.044	0.057	0.194	Alive	Normal
CS.B06.T12.J09 6.27.18-0029	B06	T12	J09	SE	5/28/2019	Melati Tarrant	D-Stage	0.040	0.059	0.198	Alive	Normal
CS.B06.T12.J09 6.27.18-0030	B06	T12	J09	SE	5/28/2019	Melati Tarrant	D-Stage	0.042	0.054	0.197	Alive	Normal
CS.B06.T12.J10 6.27.18-0001	B06	T12	J10	CA	5/28/2019	Melati Tarrant	D-Stage	0.034	0.059	0.195	Alive	Normal
CS.B06.T12.J10 6.27.18-0002	B06	T12	J10	CA	5/28/2019	Melati Tarrant	D-Stage	0.031	0.057	0.188	Alive	Normal
CS.B06.T12.J10 6.27.18-0003	B06	T12	J10	CA	5/28/2019	Melati Tarrant	D-Stage	0.034	0.065	0.199	Alive	Normal
CS.B06.T12.J10 6.27.18-0004	B06	T12	J10	CA	5/28/2019	Melati Tarrant	D-Stage	0.032	0.059	0.204	Alive	Normal
CS.B06.T12.J10 6.27.18-0005	B06	T12	J10	CA	5/28/2019	Melati Tarrant	Trochophore	0.039	0.041	0.129	Alive	Normal
CS.B06.T12.J10 6.27.18-0006	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.035	0.060	0.204	Alive	Normal
CS.B06.T12.J10 6.27.18-0007	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.035	0.062	0.208	Alive	Normal
CS.B06.T12.J10 6.27.18-0008	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.034	0.061	0.211	Alive	Normal
CS.B06.T12.J10 6.27.18-0009	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.041	0.054	0.202	Alive	Normal
CS.B06.T12.J10 6.27.18-0010	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.034	0.054	0.198	Alive	Normal
CS.B06.T12.J10 6.27.18-0011	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.032	0.056	0.195	Alive	Normal
CS.B06.T12.J10 6.27.18-0012	B06	T12	J10	CA	5/29/2019	Melati Tarrant	Trochophore	0.055	0.057	0.203	Alive	Normal
CS.B06.T12.J10 6.27.18-0013	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.042	0.063	0.204	Alive	Normal
CS.B06.T12.J10 6.27.18-0014	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.042	0.050	0.185	Alive	Normal
CS.B06.T12.J10 6.27.18-0015	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.033	0.065	0.209	Alive	Normal
CS.B06.T12.J10 6.27.18-0016	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.041	0.053	0.191	Alive	Normal
CS.B06.T12.J10 6.27.18-0017	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.032	0.059	0.206	Alive	Normal
CS.B06.T12.J10 6.27.18-0018	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.045	0.053	0.204	Alive	Normal
CS.B06.T12.J10 6.27.18-0019	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.032	0.058	0.193	Alive	Normal
CS.B06.T12.J10 6.27.18-0020	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.031	0.056	0.194	Alive	Normal
CS.B06.T12.J10 6.27.18-0021	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.032	0.060	0.212	Alive	Normal
CS.B06.T12.J10 6.27.18-0022	B06	T12	J10	CA	5/29/2019	Melati Tarrant	D-Stage	0.039	0.055	0.191	Alive	Normal
CS.B06.T12.J11 6.27.18-0001	B06	T12	J11	CON	5/29/2019	Melati Tarrant	Trochophore	0.054	0.054	0.193	Alive	Normal
CS.B06.T12.J11 6.27.18-0002 A	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.049	0.052	0.206	Alive	Normal
CS.B06.T12.J11 6.27.18-0002 B	B06	T12	J11	CON	5/29/2019	Melati Tarrant	Trochophore	0.055	0.059	0.188	Alive	Normal
CS.B06.T12.J11 6.27.18-0003	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.035	0.056	0.196	Alive	Normal
CS.B06.T12.J11 6.27.18-0004	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.049	0.048	0.209	Alive	Normal
CS.B06.T12.J11 6.27.18-0005	B06	T12	J11	CON	5/29/2019	Melati Tarrant	Trochophore	0.054	0.051	0.185	Alive	Normal
CS.B06.T12.J11 6.27.18-0006	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.037	0.055	0.188	Alive	Normal
CS.B06.T12.J11 6.27.18-0007	B06	T12	J11	CON	5/29/2019	Melati Tarrant	Trochophore	0.052	0.057	0.194	Alive	Normal
CS.B06.T12.J11 6.27.18-0008	B06	T12	J11	CON	5/29/2019	Melati Tarrant	Trochophore	0.058	0.054	0.188	Alive	Normal
CS.B06.T12.J11 6.27.18-0009	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.039	0.054	0.195	Alive	Normal
CS.B06.T12.J11 6.27.18-0010	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.034	0.062	0.199	Alive	Normal
CS.B06.T12.J11 6.27.18-0011 A	B06	T12	J11	CON	5/29/2019	Melati Tarrant	Trochophore	0.052	0.058	0.180	Alive	Normal
CS.B06.T12.J11 6.27.18-0011 B	B06	T12	J11	CON	5/29/2019	Melati Tarrant	Trochophore	0.056	0.053	0.186	Alive	Normal
CS.B06.T12.J11 6.27.18-0012	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.042	0.061	0.207	Alive	Normal
CS.B06.T12.J11 6.27.18-0013	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.032	0.057	0.194	Alive	Normal
CS.B06.T12.J11 6.27.18-0014	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.049	0.053	0.202	Alive	Normal
CS.B06.T12.J11 6.27.18-0015	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.051	0.058	0.215	Alive	Normal
CS.B06.T12.J11 6.27.18-0016 A	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.034	0.062	0.198	Alive	Normal
CS.B06.T12.J11 6.27.18-0016 B	B06	T12	J11	CON	5/29/2019	Melati Tarrant	D-Stage	0.041	0.052	0.200	Alive	Deformed
CS.B06.T12.J12 6.27.18-0001	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.055	0.056	0.183	Alive	Normal
CS.B06.T12.J12 6.27.18-0003	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.056	0.055	0.183	Alive	Normal
CS.B06.T12.J12 6.27.18-0004	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.054	0.056	0.179	Alive	Normal
CS.B06.T12.J12 6.27.18-0005	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.056	0.054	0.179	Alive	Normal
CS.B06.T12.J12 6.27.18-0006	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.056	0.054	0.178	Alive	Normal
CS.B06.T12.J12 6.27.18-0007	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.055	0.056	0.185	Alive	Normal
CS.B06.T12.J12 6.27.18-0008	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.050	0.052	0.173	Alive	Normal
CS.B06.T12.J12 6.27.18-0009	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.051	0.055	0.179	Alive	Normal
CS.B06.T12.J12 6.27.18-0011	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.051	0.053	0.181	Alive	Normal
CS.B06.T12.J12 6.27.18-0012	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.055	0.060	0.194	Alive	Normal
CS.B06.T12.J12 6.27.18-0013	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.051	0.056	0.177	Alive	Normal
CS.B06.T12.J12 6.27.18-0014	B06	T12	J12	CASE	5/29/2019	Melati Tarrant	Trochophore	0.057	0.054	0.186	Alive	Normal
CS.B06.T24.J02 6.18.18-0001	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.046	0.061	0.234	Alive	Normal
CS.B06.T24.J02 6.18.18-0002	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.046	0.058	0.222	Alive	Normal
CS.B06.T24.J02 6.18.18-0003	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.045	0.059	0.211	Alive	Normal
CS.B06.T24.J02 6.18.18-0004	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.057	0.057	0.228	Alive	Normal
CS.B06.T24.J02 6.18.18-0005	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.051	0.067	0.240	Alive	Normal
CS.B06.T24.J02 6.18.18-0006	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.051	0.058	0.224	Alive	Normal
CS.B06.T24.J02 6.18.18-0007	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.054	0.059	0.226	Alive	Normal
CS.B06.T24.J02 6.18.18-0008	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.061	0.063	0.236	Alive	Normal
CS.B06.T24.J02 6.18.18-0009	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.051	0.056	0.219	Alive	Normal
CS.B06.T24.J02 6.18.18-0010	B06	T24	J02	CON	5/15/2019	Melati Tarrant	Trochophore	0.062	0.067	0.236	Alive	Normal
CS.B06.T24.J02 6.18.18-0011	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.058	0.056	0.223	Alive	Normal
CS.B06.T24.J02 6.18.18-0012	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.057	0.062	0.243	Alive	Normal
CS.B06.T24.J02 6.18.18-0013	B06	T24	J02	CON	5/15/2019	Melati Tarrant	D-Stage	0.051	0.061	0.235	Alive	Normal
CS.B06.T24.J03 6.18.18-0001	B06	T24	J03	SE	5/15/2019	Melati Tarrant	D-Stage	0.032	0.061	0.208	Alive	Normal
CS.B06.T24.J03 6.18.18-0002	B06	T24	J03	SE	5/15/2019	Melati Tarrant	Trochophore	0.058	0.055	0.207	Alive	Normal
CS.B06.T24.J03 6.18.18-0004	B06	T24	J03	SE	5/15/2019	Melati Tarrant	Trochophore	0.063	0.067	0.233	Alive	Normal
CS.B06.T24.J03 6.18.18-0006	B06	T24	J03	SE	5/15/2019	Melati Tarrant	Trochophore	0.066	0.069	0.234	Alive	Deformed
CS.B06.T24.J03 6.18.18-0007	B06	T24	J03	SE	5/15/2019	Melati Tarrant	Trochophore	0.053	0.050	0.182	Alive	Normal
CS.B06.T24.J03 6.18.18-0008	B06	T24	J03	SE	5/15/2019	Melati Tarrant	D-Stage	0.037	0.066	0.226	Alive	Normal
CS.B06.T24.J03 6.18.18-0009	B06	T24	J03	SE	5/15/2019	Melati Tarrant	Trochophore	0.053	0.050	0.189	Alive	Normal
CS.B06.T24.J03 6.18.18-0011	B06	T24	J03	SE	5/15/2019	Melati Tarrant	Trochophore	0.059	0.062	0.210	Alive	Normal
CS.B06.T24.J04 6.18.18-0002	B06	T24	J04	SE	5/15/2019	Melati Tarrant	Trochophore	0.039	0.043	0.144	Alive	Normal
CS.B06.T24.J05 6.18.18-0001	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.045	0.068	0.200	Alive	Deformed
CS.B06.T24.J05 6.18.18-0002	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.046	0.041	0.159	Alive	Normal
CS.B06.T24.J05 6.18.18-0003	B06	T24	J05	CA	5/15/2019	Melati Tarrant	D-Stage	0.035	0.051	0.194	Alive	Normal
CS.B06.T24.J05 6.18.18-0004	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.061	0.048	0.200	Alive	Normal
CS.B06.T24.J05 6.18.18-0005	B06	T24	J05	CA	5/15/2019	Melati Tarrant	D-Stage	0.051	0.052	0.202	Alive	Normal
CS.B06.T24.J05 6.18.18-0006	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.063	0.047	0.212	Alive	Deformed
CS.B06.T24.J05 6.18.18-0007	B06	T24	J05	CA	5/15/2019	Melati Tarrant	D-Stage	0.045	0.044	0.181	Alive	Normal
CS.B06.T24.J05 6.18.18-0008	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.063	0.049	0.206	Alive	Normal
CS.B06.T24.J05 6.18.18-0009	B06	T24	J05	CA	5/15/2019	Melati Tarrant	D-Stage	0.049	0.057	0.211	Alive	Normal
CS.B06.T24.J05 6.18.18-0010	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.055	0.048	0.175	Alive	Normal
CS.B06.T24.J05 6.18.18-0011	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.064	0.051	0.196	Alive	Normal
CS.B06.T24.J05 6.18.18-0012	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.055	0.059	0.196	Alive	Normal
CS.B06.T24.J05 6.18.18-0013	B06	T24	J05	CA	5/15/2019	Melati Tarrant	D-Stage	0.030	0.059	0.195	Alive	Normal
CS.B06.T24.J05 6.18.18-0014	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.060	0.058	0.200	Alive	Normal
CS.B06.T24.J05 6.18.18-0015	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.050	0.056	0.181	Alive	Normal
CS.B06.T24.J05 6.18.18-0016	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.052	0.068	0.203	Alive	Normal
CS.B06.T24.J05 6.18.18-0017	B06	T24	J05	CA	5/15/2019	Melati Tarrant	Trochophore	0.049	0.067	0.198	Alive	Normal
CS.B06.T24.J06 6.18.18-0001	B06	T24	J06	CON	5/15/2019	Melati Tarrant	Trochophore	0.041	0.052	0.157	Alive	Deformed
CS.B06.T24.J06 6.18.18-0002	B06	T24	J06	CON	5/15/2019	Melati Tarrant	Trochophore	0.050	0.049	0.165	Alive	Normal
CS.B06.T24.J07 6.19.18-0001	B06	T24	J07	CASE	5/16/2019	Melati Tarrant	Trochophore	0.048	0.057	0.175	Alive	Normal
CS.B06.T24.J07 6.19.18-0002	B06	T24	J07	CASE	5/16/2019	Melati Tarrant	Trochophore	0.056	0.064	0.199	Alive	Normal
CS.B06.T24.J07 6.19.18-0004	B06	T24	J07	CASE	5/16/2019	Melati Tarrant	Trochophore	0.051	0.050	0.170	Alive	Normal
CS.B06.T24.J07 6.19.18-0005	B06	T24	J07	CASE	5/16/2019	Melati Tarrant	Trochophore	0.054	0.053	0.175	Alive	Normal
CS.B06.T24.J08 6.19.18-0001	B06	T24	J08	CA	5/16/2019	Melati Tarrant	D-Stage	0.042	0.045	0.173	Alive	Normal
CS.B06.T24.J08 6.19.18-0002	B06	T24	J08	CA	5/16/2019	Melati Tarrant	Trochophore	0.057	0.057	0.201	Alive	Normal
CS.B06.T24.J08 6.19.18-0003	B06	T24	J08	CA	5/16/2019	Melati Tarrant	Trochophore	0.063	0.056	0.201	Alive	Normal
CS.B06.T24.J08 6.19.18-0004	B06	T24	J08	CA	5/16/2019	Melati Tarrant	D-Stage	0.046	0.058	0.210	Alive	Normal
CS.B06.T24.J08 6.19.18-0006	B06	T24	J08	CA	5/16/2019	Melati Tarrant	Trochophore	0.057	0.053	0.200	Alive	Normal
CS.B06.T24.J08 6.19.18-0008	B06	T24	J08	CA	5/16/2019	Melati Tarrant	Trochophore	0.060	0.057	0.202	Alive	Normal
CS.B06.T24.J08 6.19.18-0009	B06	T24	J08	CA	5/16/2019	Melati Tarrant	D-Stage	0.034	0.047	0.187	Alive	Normal
CS.B06.T24.J08 6.19.18-0010 B	B06	T24	J08	CA	5/16/2019	Melati Tarrant	Trochophore	0.070	0.040	0.192	Alive	Normal
CS.B06.T24.J08 6.19.18-0012	B06	T24	J08	CA	5/16/2019	Melati Tarrant	Trochophore	0.049	0.058	0.181	Alive	Normal
CS.B06.T24.J08 6.19.18-0013	B06	T24	J08	CA	5/16/2019	Melati Tarrant	Trochophore	0.049	0.071	0.207	Alive	Deformed
CS.B06.T24.J08 6.19.18-0014	B06	T24	J08	CA	5/16/2019	Melati Tarrant	Trochophore	0.061	0.060	0.216	Alive	Normal
CS.B06.T24.J09 6.19.18-0001	B06	T24	J09	SE	5/16/2019	Melati Tarrant	Trochophore	0.053	0.046	0.181	Alive	Normal
CS.B06.T24.J09 6.19.18-0002	B06	T24	J09	SE	5/16/2019	Melati Tarrant	Trochophore	0.043	0.057	0.173	Alive	Normal
CS.B06.T24.J09 6.19.18-0003	B06	T24	J09	SE	5/16/2019	Melati Tarrant	Trochophore	0.045	0.058	0.191	Alive	Normal
CS.B06.T24.J09 6.19.18-0004	B06	T24	J09	SE	5/16/2019	Melati Tarrant	Trochophore	0.052	0.055	0.200	Alive	Normal
CS.B06.T24.J09 6.19.18-0005	B06	T24	J09	SE	5/16/2019	Melati Tarrant	Trochophore	0.062	0.067	0.222	Alive	Normal
CS.B06.T24.J09 6.19.18-0006	B06	T24	J09	SE	5/16/2019	Melati Tarrant	Trochophore	0.060	0.053	0.212	Alive	Normal
CS.B06.T24.J09 6.19.18-0007	B06	T24	J09	SE	5/16/2019	Melati Tarrant	Trochophore	0.057	0.052	0.202	Alive	Normal
CS.B06.T24.J09 6.19.18-0008	B06	T24	J09	SE	5/16/2019	Melati Tarrant	Trochophore	0.061	0.046	0.192	Alive	Normal
CS.B06.T24.J10 6.19.18-0001	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.053	0.061	0.193	Alive	Normal
CS.B06.T24.J10 6.19.18-0002	B06	T24	J10	CA	5/16/2019	Melati Tarrant	D-Stage	0.045	0.050	0.184	Alive	Normal
CS.B06.T24.J10 6.19.18-0003	B06	T24	J10	CA	5/16/2019	Melati Tarrant	D-Stage	0.046	0.054	0.196	Alive	Normal
CS.B06.T24.J10 6.19.18-0004	B06	T24	J10	CA	5/16/2019	Melati Tarrant	D-Stage	0.051	0.047	0.181	Alive	Normal
CS.B06.T24.J10 6.19.18-0005	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.056	0.044	0.185	Alive	Normal
CS.B06.T24.J10 6.19.18-0006	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.050	0.063	0.190	Alive	Normal
CS.B06.T24.J10 6.19.18-0007	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.040	0.062	0.196	Alive	Deformed
CS.B06.T24.J10 6.19.18-0008	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.051	0.058	0.195	Alive	Normal
CS.B06.T24.J10 6.19.18-0009	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.056	0.043	0.180	Alive	Normal
CS.B06.T24.J10 6.19.18-0011	B06	T24	J10	CA	5/16/2019	Melati Tarrant	D-Stage	0.044	0.067	0.222	Alive	Normal
CS.B06.T24.J10 6.19.18-0012	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.054	0.048	0.180	Alive	Normal
CS.B06.T24.J10 6.19.18-0013	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.055	0.042	0.172	Alive	Normal
CS.B06.T24.J10 6.19.18-0014	B06	T24	J10	CA	5/16/2019	Melati Tarrant	D-Stage	0.053	0.054	0.194	Alive	Normal
CS.B06.T24.J10 6.19.18-0015	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.058	0.057	0.195	Alive	Normal
CS.B06.T24.J10 6.19.18-0016	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.055	0.054	0.189	Alive	Normal
CS.B06.T24.J10 6.19.18-0017	B06	T24	J10	CA	5/16/2019	Melati Tarrant	D-Stage	0.064	0.054	0.202	Alive	Normal
CS.B06.T24.J10 6.19.18-0018	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.057	0.056	0.195	Alive	Deformed
CS.B06.T24.J10 6.19.18-0019	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.054	0.059	0.190	Alive	Normal
CS.B06.T24.J10 6.19.18-0020	B06	T24	J10	CA	5/16/2019	Melati Tarrant	Trochophore	0.049	0.055	0.176	Alive	Normal
CS.B06.T24.J11 6.19.18-0001	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.050	0.046	0.167	Alive	Normal
CS.B06.T24.J11 6.19.18-0002	B06	T24	J11	CON	5/16/2019	Melati Tarrant	D-Stage	0.039	0.059	0.176	Alive	Normal
CS.B06.T24.J11 6.19.18-0003	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.052	0.058	0.186	Alive	Normal
CS.B06.T24.J11 6.19.18-0004	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.058	0.052	0.192	Alive	Normal
CS.B06.T24.J11 6.19.18-0005	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.054	0.054	0.180	Alive	Normal
CS.B06.T24.J11 6.19.18-0006	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.064	0.060	0.210	Alive	Normal
CS.B06.T24.J11 6.19.18-0007	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.068	0.054	0.212	Alive	Normal
CS.B06.T24.J11 6.19.18-0008	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.071	0.060	0.219	Alive	Normal
CS.B06.T24.J11 6.19.18-0009	B06	T24	J11	CON	5/16/2019	Melati Tarrant	D-Stage	0.061	0.053	0.201	Alive	Normal
CS.B06.T24.J11 6.19.18-0010	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.055	0.058	0.191	Alive	Normal
CS.B06.T24.J11 6.19.18-0011	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.053	0.055	0.187	Alive	Normal
CS.B06.T24.J11 6.19.18-0012	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.048	0.057	0.166	Alive	Normal
CS.B06.T24.J11 6.19.18-0013	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.054	0.053	0.186	Alive	Normal
CS.B06.T24.J11 6.19.18-0014	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.043	0.045	0.180	Alive	Deformed
CS.B06.T24.J11 6.19.18-0015	B06	T24	J11	CON	5/16/2019	Melati Tarrant	D-Stage	0.031	0.057	0.184	Alive	Normal
CS.B06.T24.J11 6.19.18-0016	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.054	0.053	0.176	Alive	Normal
CS.B06.T24.J11 6.19.18-0017	B06	T24	J11	CON	5/16/2019	Melati Tarrant	Trochophore	0.050	0.064	0.204	Alive	Normal
CS.B06.T24.J12 6.20.18-0001	B06	T24	J12	CASE	5/17/2019	Melati Tarrant	Trochophore	0.051	0.051	0.174	Alive	Normal
CS.B06.T24.J12 6.20.18-0002	B06	T24	J12	CASE	5/17/2019	Melati Tarrant	D-Stage	0.038	0.058	0.198	Alive	Normal
CS.B10.T00.J01 8.18.18-0001 A	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	0.051	0.054	0.167	Alive	Normal
CS.B10.T00.J01 8.18.18-0001 B	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	0.059	0.049	0.183	Alive	Normal
CS.B10.T00.J01 8.18.18-0002	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	0.047	0.055	0.167	Alive	Normal
CS.B10.T00.J01 8.18.18-0003	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	0.046	0.056	0.160	Alive	Normal
CS.B10.T00.J01 8.18.18-0004	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	0.059	0.057	0.187	Alive	Normal
CS.B10.T00.J01 8.18.18-0005	B10	T00	J01	CASE	6/28/2019	Melati Tarrant	Trochophore	0.059	0.060	0.200	Alive	Normal
CS.B10.T00.J01 8.18.18-0006	B10	T00	J01	CASE	7/1/2019	Melati Tarrant	Trochophore	0.042	0.047	0.140	Alive	Normal
CS.B10.T00.J01 8.18.18-0007	B10	T00	J01	CASE	7/1/2019	Melati Tarrant	Trochophore	0.058	0.047	0.166	Alive	Normal
