LOC111099093	GO:0005930; GO:0036064; GO:0060271
LOC111128318	GO:0005737; GO:0015629; GO:0015629; GO:0030042; GO:0030042; GO:0030479; GO:0048870; GO:0051014; GO:0051015
LOC111128370	GO:0016020
LOC111128432	GO:0005814; GO:0005856; GO:0005879; GO:0008017; GO:0008017; GO:0034453; GO:0036064; GO:0036126
LOC111128527	GO:0000460; GO:0000470; GO:0005730; GO:0030687; GO:0042134
LOC111128548	GO:0000978; GO:0000981; GO:0030154; GO:0045944; GO:0045944; GO:0046983
LOC111128593	GO:0005096; GO:0007165; GO:0043087
LOC111128599	GO:0005515
LOC111128699	GO:0005737; GO:0007165
LOC111128721	GO:0003723
LOC111128753	GO:0004735; GO:0004735; GO:0055129
LOC111128766	GO:0017124
LOC111128771	GO:0001786; GO:0005509; GO:0005544; GO:0014059; GO:0017156; GO:0017158; GO:0019905; GO:0030276; GO:0071277
LOC111128837	GO:0003677; GO:0005634; GO:0006338; GO:0032452
LOC111129160	GO:0005737; GO:0005737; GO:0070286
LOC111129185	GO:0005515; GO:0006511; GO:0008270; GO:0016567; GO:0042981
LOC111129212	GO:0000987; GO:0003700; GO:0003700; GO:0005634; GO:0006355; GO:0006355
LOC111129239	GO:0003906; GO:0005515; GO:0005634; GO:0006302; GO:0008408; GO:0035861
LOC111129277	GO:0005515; GO:0005576; GO:0008061
LOC111129294	GO:0005515
LOC111129312	GO:0005515; GO:0006511; GO:0019871; GO:0048814; GO:0061630; GO:2000650
LOC111129348	GO:0005515; GO:0005789; GO:0006888; GO:0009306; GO:0035459; GO:0070971
LOC111129350	GO:0004124; GO:0005737; GO:0006535
LOC111129390	GO:0035556
LOC111129403	GO:0016020; GO:0016020; GO:0038023
LOC111129410	GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625
LOC111129434	GO:0005509; GO:0005509; GO:0030234
LOC111129443	GO:0005509; GO:0005509; GO:0030234
LOC111129446	GO:0005886; GO:0007411; GO:0046875; GO:0048013
LOC111129464	GO:0000278; GO:0000922; GO:0005515; GO:0007051; GO:0051295
LOC111129603	GO:0003950; GO:0005515
LOC111129615	GO:0007601; GO:0016020
LOC111129691	GO:0003682; GO:0005515; GO:0005737
LOC111129719	GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632
LOC111129841	GO:0005524; GO:0005524; GO:0005829; GO:0005886; GO:0006457; GO:0006457; GO:0016887; GO:0016887; GO:0032991; GO:0034605; GO:0048471; GO:0050821; GO:0051082; GO:0051082; GO:0097718; GO:0140662; GO:0140662
LOC111129852	GO:0000122; GO:0016581; GO:0043565
LOC111129857	GO:0022857; GO:0022857; GO:0055085
LOC111129928	GO:0003746; GO:0005634; GO:0005737; GO:0006414; GO:0006414
LOC111129936	GO:0001534; GO:0005930; GO:0035082; GO:0044458; GO:0060294; GO:0060294
LOC111130079	GO:0004865; GO:0005737; GO:0005737; GO:0042325; GO:0042325
LOC111130217	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0035556
LOC111130239	GO:0000287; GO:0000287; GO:0005524; GO:0005524; GO:0005737; GO:0032957; GO:0032957; GO:0047325; GO:0047325; GO:0052725; GO:0052725; GO:0052726; GO:0052726
LOC111130286	GO:0005515
LOC111130301	GO:0004017; GO:0005524; GO:0005524; GO:0005737; GO:0006139; GO:0006139
LOC111130322	GO:0071564
LOC111130323	GO:0005856
LOC111130355	GO:0003723
LOC111130363	GO:0071013
LOC111130375	GO:0005515; GO:0008270; GO:0033209; GO:0042981; GO:0043122; GO:0046330; GO:0070534; GO:0098802
LOC111130378	GO:0005929; GO:0044782
LOC111130416	GO:0000398; GO:0000398; GO:0005681; GO:0005681
LOC111130444	GO:0016020; GO:0022857; GO:0055085
LOC111130453	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111130470	GO:0030246
LOC111130486	GO:0005509; GO:0005515
LOC111130532	GO:0005524; GO:0008540; GO:0016788; GO:0016887; GO:0036402; GO:0043161
LOC111130882	GO:0005975; GO:0006865
LOC111130918	GO:0005737; GO:0005886; GO:0007216; GO:0007216; GO:0035256; GO:0035256; GO:2001256
LOC111130935	GO:0003677; GO:0005515; GO:0046872
LOC111130951	GO:0005543; GO:0005886; GO:0030036; GO:0030054; GO:0030864; GO:0042995; GO:0051015
LOC111130952	GO:0030431; GO:0032222; GO:1903818
LOC111131007	GO:0003729; GO:0005737; GO:0061157; GO:1990247
LOC111131147	GO:0004435; GO:0004435; GO:0005509; GO:0006629; GO:0048015
LOC111131212	GO:0004149; GO:0006099; GO:0045252
LOC111131214	GO:0005768; GO:0010008; GO:0034498; GO:0035091; GO:0035091
LOC111131303	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0006357
LOC111131356	GO:0005622; GO:0035556
LOC111131375	GO:0000398; GO:0003723; GO:0005684
LOC111131483	GO:0005634
LOC111131486	GO:0003677
LOC111131519	GO:0019825; GO:0020037
LOC111131538	GO:0001784
LOC111131630	GO:0003725; GO:0003727; GO:0008270; GO:0071011
LOC111131668	GO:0005730; GO:0042273
LOC111131740	GO:0005524; GO:0005832; GO:0006457; GO:0006457; GO:0016887; GO:0051082; GO:0051082; GO:0140662; GO:0140662
LOC111131784	GO:0003723; GO:0005737
LOC111132216	GO:0004222; GO:0004222; GO:0006508; GO:0008270
LOC111132366	GO:0006486; GO:0006486; GO:0016020; GO:0016020; GO:0036065; GO:0046920
LOC111132503	GO:0000122; GO:0000785; GO:0003677; GO:0003677; GO:0003682; GO:0005634; GO:0006338; GO:0006338; GO:0016887; GO:0042393; GO:0140658
LOC111132543	GO:0004105; GO:0006657; GO:0031210
LOC111132609	GO:0005085; GO:0005085; GO:0005515; GO:0005737; GO:0035556
LOC111132762	GO:0005743; GO:0005751; GO:0006123; GO:0030234
LOC111132796	GO:0005829; GO:0046890
LOC111132924	GO:0005515; GO:0005886; GO:0007156
LOC111132928	GO:0005515; GO:0005615
LOC111132962	GO:0000045; GO:0002218; GO:0002218; GO:0005776; GO:0005789; GO:0007165; GO:0016239; GO:0032481; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709
LOC111132965	GO:0005576; GO:0005886; GO:0005886; GO:0009966; GO:0009966; GO:0009986; GO:0016477; GO:0045202; GO:0062023; GO:0062023; GO:1905475
LOC111132998	GO:0000994; GO:0005634; GO:0016480; GO:0016480
LOC111133022	GO:0003729; GO:0003743; GO:0005515; GO:0016281
LOC111133034	GO:0005975; GO:0006865
LOC111133072	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111133073	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111133277	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111133278	GO:0008270
LOC111133286	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111133288	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111133291	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111133292	GO:0008270
LOC111133295	GO:0008270
LOC111133296	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111133298	GO:0000209; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111133335	GO:0000122; GO:0003677; GO:0005730; GO:0006364
LOC111133403	GO:0005096; GO:0005096; GO:0005515; GO:0005737; GO:0051056; GO:0090630
LOC111133530	GO:0016616
LOC111133546	GO:0005634; GO:0005839; GO:0006511; GO:0019773; GO:0019773
LOC111133568	GO:0005509; GO:0005886; GO:0007156
LOC111133739	GO:0005783; GO:0006614; GO:0016020
LOC111133899	GO:0005515
LOC111134042	GO:0005005; GO:0005515; GO:0005524; GO:0005886; GO:0006468; GO:0007169; GO:0007411; GO:0043005
LOC111134058	GO:0005515
LOC111134059	GO:0006886; GO:0016020; GO:0031267
LOC111134126	GO:0000981; GO:0005634; GO:0006357; GO:0008270; GO:0043565
LOC111134208	GO:0004364; GO:0006749
LOC111134210	GO:0000977; GO:0000981; GO:0000981; GO:0006357
LOC111134227	GO:0001732; GO:0002188; GO:0003729; GO:0003743; GO:0043614; GO:0071540; GO:0071541
LOC111134230	GO:0005737; GO:0005856; GO:0030866; GO:0035556; GO:0051015; GO:0051639
LOC111134316	GO:0001653; GO:0004383; GO:0004383; GO:0006182; GO:0006182; GO:0007168; GO:0035556
LOC111134354	GO:0005515
LOC111134419	GO:0005515
LOC111134422	GO:0003723
LOC111134425	GO:0001664; GO:0003924; GO:0003924; GO:0005525; GO:0005834; GO:0007188; GO:0007188; GO:0031683; GO:0031683
LOC111134474	GO:0005789; GO:0009922; GO:0009922; GO:0019367; GO:0030148; GO:0034625; GO:0034626; GO:0042761
LOC111134518	GO:0019319; GO:0050659
LOC111134527	GO:0005813; GO:0005814; GO:0005829; GO:0046599
LOC111134528	GO:0004222; GO:0006508; GO:0008270; GO:0016020
LOC111134536	GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0006986
LOC111134572	GO:0003777; GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007018; GO:0007018; GO:0008017; GO:0008017; GO:0016887; GO:0030705
LOC111134594	GO:0000122; GO:0003714; GO:0005654; GO:0005730; GO:0030690; GO:0030691; GO:0035067; GO:0042273; GO:0042393
LOC111134614	GO:0008017; GO:0035556; GO:1902412
LOC111134702	GO:0005515
LOC111134707	GO:0003723
LOC111134732	GO:0003690; GO:0005515; GO:0005524; GO:0005694; GO:0007064; GO:0016887; GO:0061775
LOC111134789	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046983
LOC111134797	GO:0008270
LOC111134803	GO:0000796; GO:0000796; GO:0003682; GO:0007076; GO:0007076
LOC111135070	GO:0000086; GO:0004725; GO:0004725; GO:0005634; GO:0005737; GO:0006470; GO:0010971; GO:0110032
LOC111135077	GO:0000462; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627
LOC111135089	GO:0005634; GO:0015630; GO:0060271; GO:0060294; GO:0060294
LOC111135115	GO:0005085
LOC111135152	GO:0005261; GO:0016020; GO:0098655
LOC111135163	GO:0005886; GO:0017121; GO:0017121; GO:0017128; GO:0017128
LOC111135171	GO:0005634; GO:0005737; GO:0031122; GO:0035371; GO:0051010
LOC111135208	GO:0003714; GO:0016616; GO:0051287
LOC111135301	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111135311	GO:0003924; GO:0005525; GO:0005886; GO:0010008; GO:0032456
LOC111135338	GO:0008171; GO:0008173; GO:0017069; GO:0040031
LOC111135360	GO:0005739; GO:0008453; GO:0009436; GO:0019481; GO:0030170
LOC111135390	GO:0009306; GO:0031397; GO:0045177
LOC111135408	GO:0005484; GO:0005886; GO:0006906; GO:0016192; GO:0019905; GO:0031201
LOC111135443	GO:0005515
LOC111135471	GO:0000122; GO:0005634; GO:0007507; GO:0030154; GO:0045944; GO:0061629
LOC111135491	GO:0000062; GO:0017099; GO:0050660
LOC111135493	GO:0004508; GO:0005506; GO:0020037; GO:0042446; GO:0042448; GO:0047442
LOC111135514	GO:0004672; GO:0005524; GO:0006468
LOC111135557	GO:0005737; GO:0005886; GO:0005942; GO:0016303; GO:0016477; GO:0035005; GO:0036092; GO:0043491; GO:0048015
LOC111135589	GO:0016020; GO:0016020
LOC111135637	GO:0005737; GO:0036064; GO:0046983; GO:0060271
LOC111135789	GO:0003682; GO:0003714; GO:0005634; GO:0006355; GO:0008270; GO:0043565
LOC111135802	GO:0000495; GO:0003723; GO:0009982; GO:0009982; GO:0031118; GO:0031120; GO:0031429; GO:1990481
LOC111135803	GO:0003333; GO:0015179; GO:0016020
LOC111135828	GO:0005765; GO:0005769; GO:0007034; GO:0007035; GO:0016471; GO:0033179; GO:0033179; GO:0033181; GO:0046961; GO:0046961; GO:1902600; GO:1902600
LOC111135849	GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625
LOC111135863	GO:0003810; GO:0003810; GO:0005524; GO:0007033; GO:0016197; GO:0016887; GO:0016887; GO:0018149; GO:0018149
LOC111135911	GO:0007009; GO:0016020; GO:0061025
LOC111136148	GO:0000812; GO:0005524; GO:0016887; GO:0042393; GO:0140658
LOC111136245	GO:0005509; GO:0005859
LOC111136247	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0022625
LOC111136273	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111136296	GO:0005634; GO:0005737
LOC111136404	GO:0005783; GO:0005794; GO:0005886
LOC111136483	GO:0005737; GO:0016651; GO:0050660; GO:0051537
LOC111136507	GO:0032039; GO:0034472
LOC111136560	GO:0005524; GO:0005832; GO:0006457; GO:0006457; GO:0016887; GO:0051082; GO:0051082; GO:0140662; GO:0140662
LOC111136596	GO:0005815; GO:0005874; GO:0035556
LOC111136624	GO:0002181; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840
LOC111136641	GO:0005509
LOC111136657	GO:0004366; GO:0005783; GO:0019432
LOC111136721	GO:0005515; GO:0005615; GO:0031012
LOC111136807	GO:0006661; GO:0010008; GO:0033674; GO:0070772
LOC111136839	GO:0005886; GO:0030171; GO:1902600
LOC111136841	GO:0005789; GO:0005789; GO:0005886; GO:0033149; GO:0061817; GO:0090158
LOC111136921	GO:0004594; GO:0004594; GO:0005524; GO:0005524; GO:0005634; GO:0005829; GO:0015937; GO:0015937
LOC111136931	GO:0016020
LOC111136960	GO:0001653; GO:0004383; GO:0004672; GO:0005524; GO:0006182; GO:0006468; GO:0007168; GO:0035556
LOC111136988	GO:0000502; GO:0005634; GO:0008540; GO:0030234; GO:0034515; GO:0042176; GO:0043161
LOC111136994	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111137063	GO:0004222; GO:0004222; GO:0005886; GO:0016485
LOC111137089	GO:0002181; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0022625
LOC111137141	GO:0000981; GO:0003677; GO:0006355
LOC111137218	GO:0003924; GO:0005525; GO:0005768; GO:0005794
LOC111137255	GO:0005515
LOC111137456	GO:0005783; GO:0005793; GO:0005794; GO:0006886; GO:0006888; GO:0007030; GO:0030134
LOC111137486	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005200; GO:0005525; GO:0005525; GO:0005737; GO:0005874; GO:0005874
LOC111137548	GO:0000413; GO:0003755; GO:0006457; GO:0043231
LOC111137638	GO:0030515; GO:0031428; GO:0032040
LOC111137725	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111137781	GO:0005515; GO:0007274
LOC111137900	GO:0005198; GO:0005938; GO:0006886; GO:0006898; GO:0030130; GO:0030132; GO:0032051; GO:0032051; GO:0045334; GO:0071439; GO:0071439
LOC111137980	GO:0016020; GO:0016020; GO:0016255; GO:0042765; GO:0042765
LOC111138046	GO:0006355; GO:0031213
LOC111138059	GO:0031514; GO:0036064; GO:0060271; GO:0060296; GO:2000147
LOC111138137	GO:0005515; GO:0019005; GO:0035556; GO:0043161
LOC111138142	GO:0004730
LOC111138235	GO:0003730; GO:0005634; GO:0005829; GO:0008143; GO:0008266; GO:0010494; GO:1990904
LOC111138319	GO:0000209; GO:0005515; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111138341	GO:0005884; GO:0005886; GO:0014069; GO:0030027; GO:0030425; GO:0030427; GO:0030833; GO:0030864; GO:0045211; GO:0045773; GO:0048812; GO:0051015; GO:0061003; GO:0098974
LOC111138395	GO:0003352; GO:0005858; GO:0005930; GO:0060285; GO:0070286
LOC111138521	GO:0004731; GO:0004731; GO:0005737; GO:0009116
